dataset,size,algorithm,avg_time_us,avg_symbol_operations
almost_sorted,2100,string_merge_sort,688.4,25687.4
almost_sorted,2100,msd_radix_sort,74.8,4875
almost_sorted,2100,msd_radix_sort_with_quick_sort,48.2,9276.8
almost_sorted,2200,quick_sort,217.4,286767
almost_sorted,2200,merge_sort,786.6,26781
almost_sorted,2200,string_quick_sort,68.6,20643.2
almost_sorted,2200,string_merge_sort,715.2,26781
almost_sorted,2200,msd_radix_sort,80.2,5153.6
almost_sorted,2200,msd_radix_sort_with_quick_sort,48.8,9856.4
almost_sorted,2300,quick_sort,227,306365
almost_sorted,2300,merge_sort,840.6,28349.2
almost_sorted,2300,string_quick_sort,74.6,21828.4
almost_sorted,2300,string_merge_sort,777,28349.2
almost_sorted,2300,msd_radix_sort,85.6,5404.2
almost_sorted,2300,msd_radix_sort_with_quick_sort,56,10455.6
almost_sorted,2400,quick_sort,242.4,321785
almost_sorted,2400,merge_sort,875.6,29878.4
almost_sorted,2400,string_quick_sort,78,22893.2
almost_sorted,2400,string_merge_sort,813.8,29878.4
almost_sorted,2400,msd_radix_sort,88.8,5659.6
almost_sorted,2400,msd_radix_sort_with_quick_sort,57.4,11037
almost_sorted,2500,quick_sort,250.4,336797
almost_sorted,2500,merge_sort,920.4,31079.8
almost_sorted,2500,string_quick_sort,81.6,24021.6
almost_sorted,2500,string_merge_sort,857.4,31079.8
almost_sorted,2500,msd_radix_sort,93,5928
almost_sorted,2500,msd_radix_sort_with_quick_sort,57.6,11625.4
almost_sorted,2600,quick_sort,264.6,364452
almost_sorted,2600,merge_sort,955.4,32746.4
almost_sorted,2600,string_quick_sort,86,25129.2
almost_sorted,2600,string_merge_sort,903.2,32746.4
almost_sorted,2600,msd_radix_sort,98.2,6199.6
almost_sorted,2600,msd_radix_sort_with_quick_sort,62,12232.2
almost_sorted,2700,quick_sort,284,380059
almost_sorted,2700,merge_sort,1022.8,34279
almost_sorted,2700,string_quick_sort,88.4,26372.2
almost_sorted,2700,string_merge_sort,938.6,34279
almost_sorted,2700,msd_radix_sort,105.6,6461.2
almost_sorted,2700,msd_radix_sort_with_quick_sort,64.8,12888
almost_sorted,2800,quick_sort,295.2,399005
almost_sorted,2800,merge_sort,1036,36080.6
almost_sorted,2800,string_quick_sort,92.6,27501
almost_sorted,2800,string_merge_sort,980.4,36080.6
almost_sorted,2800,msd_radix_sort,110,6744.8
almost_sorted,2800,msd_radix_sort_with_quick_sort,69.4,13506.4
almost_sorted,2900,quick_sort,305,413779
almost_sorted,2900,merge_sort,1077.6,37571.2
almost_sorted,2900,string_quick_sort,99.6,28553.8
almost_sorted,2900,string_merge_sort,1008,37571.2
almost_sorted,2900,msd_radix_sort,117,7031.6
almost_sorted,2900,msd_radix_sort_with_quick_sort,73.4,14098
almost_sorted,3000,quick_sort,324.8,435149
almost_sorted,3000,merge_sort,1134.4,39233
almost_sorted,3000,string_quick_sort,100.8,29619
almost_sorted,3000,string_merge_sort,1046.8,39233
almost_sorted,3000,msd_radix_sort,119,7275.4
almost_sorted,3000,msd_radix_sort_with_quick_sort,73.4,14738.6
common_prefix,100,quick_sort,19.6,27254.8
common_prefix,100,merge_sort,31.4,11210.6
common_prefix,100,string_quick_sort,6.8,4152
common_prefix,100,string_merge_sort,23,11210.6
common_prefix,100,msd_radix_sort,58.2,4118.4
common_prefix,100,msd_radix_sort_with_quick_sort,6,3956.2
common_prefix,200,quick_sort,46.4,69787.4
common_prefix,200,merge_sort,78.2,29828.4
common_prefix,200,string_quick_sort,14,8885.2
common_prefix,200,string_merge_sort,64.4,29828.4
common_prefix,200,msd_radix_sort,77,8253.8
common_prefix,200,msd_radix_sort_with_quick_sort,12.2,8455.8
common_prefix,300,quick_sort,75.6,115136
common_prefix,300,merge_sort,121,52063.4
common_prefix,300,string_quick_sort,21.6,13623.2
common_prefix,300,string_merge_sort,106.4,52063.4
common_prefix,300,msd_radix_sort,99.4,12407.6
common_prefix,300,msd_radix_sort_with_quick_sort,19.6,13042.4
common_prefix,400,quick_sort,105.6,160636
common_prefix,400,merge_sort,174,75688
common_prefix,400,string_quick_sort,29.6,18412.4
common_prefix,400,string_merge_sort,158.2,75688
common_prefix,400,msd_radix_sort,124.2,16593
common_prefix,400,msd_radix_sort_with_quick_sort,26.2,17681.8
common_prefix,500,quick_sort,140.2,211879
common_prefix,500,merge_sort,232.6,101186
common_prefix,500,string_quick_sort,39.6,23274.4
common_prefix,500,string_merge_sort,207.4,101186
common_prefix,500,msd_radix_sort,147.8,20793.4
common_prefix,500,msd_radix_sort_with_quick_sort,35.2,22441.6
common_prefix,600,quick_sort,172.6,265862
common_prefix,600,merge_sort,268.6,127931
common_prefix,600,string_quick_sort,47.2,28330.4
common_prefix,600,string_merge_sort,254.2,127931
common_prefix,600,msd_radix_sort,177,24991.4
common_prefix,600,msd_radix_sort_with_quick_sort,147.8,24891.8
common_prefix,700,quick_sort,200.2,313657
